[2017-04-27 14:42:25] LEMES_POD制造执行系统 Ver:1.0.0.3 : 开始启动
﻿[2017-04-27 14:42:45] 未获取到当前工序
﻿[2017-04-27 14:44:45] 正在采集员工号
﻿[2017-04-27 14:44:49] 正在采集工单号
﻿[2017-04-27 15:16:13] 正在采集员工号
﻿[2017-04-27 15:16:16] 正在采集工单号
﻿[2017-04-27 15:16:55] 正在采集员工号
﻿[2017-04-27 15:16:59] 正在采集工单号
﻿[2017-04-27 15:18:02] 正在采集员工号
﻿[2017-04-27 15:18:02] 正在采集员工号
﻿[2017-04-27 15:18:12] 正在采集工单号
﻿[2017-04-27 15:39:59] 正在采集成品批次
﻿[2017-04-27 15:40:03] 条码不符合规则，请重新扫描
﻿[2017-04-27 15:40:07] 该条码不属于此工单
﻿[2017-04-27 15:40:36] 正在采集LOT QTY
